Abyss | Description | Abysses are interactable objects in instances which spawns cracks and pits that spawn monsters. They can spawn from Act 6 onwards. This encounter is considered Extra Content and has a baseline greater than 8% chance to appear in any map area.
Abyss | Description | Abyss monsters can also be found in Abyssal Depths biomes in Delve.
Abyss | Overview | Abysses start spawning in acts Act 6 and onwards and in maps. Abysses are marked on the minimap with a green icon.
Abyss | Overview | Upon walking over an Abyss, a crack will form on the ground, and a small number of monsters will spawn out of it. The crack will expand as you follow it. The crack will eventually spawn a pit, which spawns many more monsters, including rare monsters. If the player takes too long to follow the crack into a pit or kill most of the enemies that spawn from the pit, it will close up. Otherwise, it will create another crack that leads to a different pit. An Abyss will create between one and four pits. Since the cracks can't cross themselves or each other, the Abyss may end prematurely if it works itself into a corner.
Abyss | Overview | Clearing the enemies out of the last pit will spawn an Abyssal Trove, which can be opened for loot. In addition to generic loot, an Abyssal Trove will always contain at least one Abyss jewel , possibly more. Sometimes, a Stygian Spire monster will spawn in place of the Abyssal Trove, dropping a Stygian Vise in addition to all the items you would normally receive from the Abyssal Trove.
Abyss | Overview | In zone levels 78 and up, instead of an Abyssal Trove or Stygian Spire, Abysses with four pits may open an entrance to the Abyssal Depths , containing an encounter with an Abyssal Lich.
Abyss | Rewards | Abyss jewels have the same functions as regular jewels , but with some differences. They offer different types of bonuses from regular jewels and most mods have tiers that depend on item level. They can be socketed in the jewel slots of the passive skill tree , but also in items with an abyssal socket , such as a Stygian Vise and unique Abyss items.
Abyss | Rewards | Stygian Vise is a belt with an abyssal socket as an implicit, allowing it to equip abyss jewels. Stygian Vises drop from Stygian Spires and Abyssal Liches.
Abyss | Rewards | Abyssal Depths is a side zone that can spawn in Abysses in zone levels 78 and up. It contains Abyss monsters, as well as a boss encounter with a Abyssal Lich , which can drop abyss themed unique items.
Abyss | Unique items | The armour pieces drop from Kurgal, the Blackblooded also have Abyssal Socket, but the boss encounter is not part of Abyss content that found in map
Abyss | Related Atlas passive skills | Lua error: Error 1054: Unknown column 'cargo__passive_skills.int_ID' in 'where clause' Function: CargoSQLQuery::run Query: SELECT `cargo__passive_skills`.`is_keystone` AS `passive_skills.is_keystone`,`cargo__passive_skills`.`_pageID` AS `passive_skills._pageID`,`cargo__passive_skills`.`ascendancy_class` AS `passive_skills.ascendancy_class`,`cargo__passive_skills`.`stat_text` AS `passive_skills.stat_text`,`cargo__passive_skills`.`icon` AS `passive_skills.icon`,`cargo__passive_skills`.`is_notable` AS `passive_skills.is_notable`,`cargo__passive_skills`.`_pageName` AS `passive_skills._pageName`,`cargo__passive_skills`.`name` AS `passive_skills.name`,`cargo__main_pages`.`_pageName` AS `main_pages._pageName` FROM `cargo__passive_skills` LEFT OUTER JOIN `cargo__main_pages` ON ((`cargo__passive_skills`.`id`=`cargo__main_pages`.`id`)) WHERE `cargo__passive_skills`.`ID` LIKE "%Atlas%" AND
