A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
A Noble Quest | Location | It is located on the Expedition cluster on the top right side of the tree.
Abyssal Army | Description | Abyssal Army is an atlas passive skill.
Abyssal Army | Location | As of version 3.21.0, it is located in the centre of the passive skill tree; Votive Hoard is also located in the same cluster, but in the other branch. The two notables shared the same starting small passive "Abyss Chance" of the passive skill cluster.
Acrimony | Description | Acrimony is a notable passive skill that grants additional damage over time multiplier.
Acrimony | Anointment | Blight anointment to unlock the passive:
Acrobatics | Description | Acrobatics is a keystone passive skill that causes spell suppression modifiers to grant spell dodge chance instead, at half their value. Spell dodge prevents spell hits , and is capped at 75%.
Acrobatics | Mechanics | The chance to dodge rolls independently per spell hit; it is not entropy-based like evasion. Spell dodge occurs before block and other damage mitigation.
Acrobatics | Location | Acrobatics lies on the far right side of the skill tree across the Ranger's starting area.
Acuity | Description | Acuity is a notable passive skill that grants increased attack speed and increased and additional accuracy rating.
Acuity | Anointment | Blight anointment to unlock the passive:
Adamant | Description | Adamant is a notable passive skill that grants increased armour rating. It also grants increased Duration to guard skills and removes both Bleeding and Corrupted Blood upon using a Guard skill.
Adamant | Anointment | Blight anointment to unlock the passive:
Adaptive Steel | Description | Adaptive Steel is a notable passive skill that grants a chance for your armour value to be doubled against an incoming hit. This chance is based on the number of times you've been hit by an enemy recently.
Adaptive Steel | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Adaptive Steel | Anointment | Blight anointment to unlock the passive:
Adder's Touch | Description | Adder's Touch is a notable passive skill that grants additional damage over time multiplier for poisons from critical strikes. It also grants poison on hit with critical strikes with daggers.
Adder's Touch | Anointment | Blight anointment to unlock the passive:
Adjacent Animosity | Description | Adjacent Animosity is a notable passive skill that grants reduced Projectile Speed. It also grants increased damage to projectiles at the start of their Movement that reduces with travel distance. The distance modifier scales from 40% increased damage at 35 units and 0% increased damage at 70 units. [1]
Adjacent Animosity | Anointment | Blight anointment to unlock the passive:
Admonisher | Description | Admonisher is a notable passive skill that grants increased warcry speed and increased damage.
Admonisher | Anointment | Blight anointment to unlock the passive:
Adrenaline (passive skill) | Description | Adrenaline is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree. [1]
Adrenaline (passive skill) | Unique items | The following unique items are related to Adrenaline :
Advance Guard | Description | Advance Guard is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree. [1]
Advance Guard | Unique items | The following unique items are related to Advance Guard:
Aerialist | Description | Aerialist is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Aerialist | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: +2% chance to Suppress Spell Damage.
Aerialist | Unique items | The following unique items are related to Aerialist :
Aerodynamics | Description | Aerodynamics is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Aerodynamics | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Projectile Damage.
Aerodynamics | Unique items | The following unique items are related to Aerodynamics:
Agent of Destruction | Description | Agent of Destruction is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Agent of Destruction | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 10% increased Damage while affected by a Herald.
Agent of Destruction | Unique items | The following unique items are related to Agent of Destruction :
Aggressive Bastion | Description | Aggressive Bastion is a notable passive skill that grants increased physical attack damage , additional chance to block attacks , increased damage with ailments from attacks and a chance to gain an Endurance charge on kill while holding a shield.
Aggressive Bastion | Anointment | Blight anointment to unlock the passive:
Aggressive Defence | Description | Aggressive Defence is a notable passive skill only found on certain craftable cluster jewel , or a Megalomaniac which always has 3 random notables.
Aggressive Defence | Unique items | The following unique items are related to Aggressive Defence:
Agility | Description | Agility is a notable passive skill that grants additional dexterity.
Alacrity | Description | Alacrity is a notable passive skill that grants additional dexterity.
Alchemist | Description | Alchemist is a notable passive skill only found on a Small Cluster Jewel that has an enchantment Added Small Passive Skills grant: +15% to Cold Resistance. It can also be found in a Megalomaniac unique Medium Cluster Jewel.
Alchemist | Unique items | The following unique items are related to Alchemist:
Aligned Spirits | Description | Aligned Spirits was a notable passive skill.
All Hands | Description | All Hands was an Atlas passive skill and Atlas keystone.
All Hands | Mechanics | All Hands adds a 40% chance to encounter a random master when a master mission is not selected on the map device , increasing it to 50% chance to encounter a random master. This 50% value is split evenly between the four masters by default using a weighting system of 1:1:1:1 for Einhar/Niko/Alva/Jun respectively, and can be modified by the notables that affect randomly encountered Masters in your Maps have #% increased chance to be a specific Master ( Hunting Season , Mining Partnership , Archaeology Tour , and Covert Stakeouts ), skewing a 12.5% chance to encounter a specific master to 20%.
All Hands | Mechanics | It also disables the ability to gain a master mission on completing a map. Note that while this disables the gaining of Kirac missions, it does not enable Kirac to be encountered in a map.
All Hands | Mechanics | Modifiers to chance to grant an additional Master Mission on Map Completion instead apply to chance for that Master to be randomly encountered in your Maps at 150% of their value causes passives that read Your Maps have #% chance to grant an additional (Einhar/Niko/Alva/Jun) Mission on Completion to apply a flat chance instead to encounter that master. This means that 10% to gain a specific master's mission is translated into 15% chance for that specific master to be randomly encountered , stacking additively with the 50% above. Each master can gain up to 10% mission chance on the tree (12% with Wandering Path ), or 15% (18%) chance to encounter a master in a map. By investing into multiple masters to get a total of ≥34% mission chance across the four masters, it is possible to encounter random masters in every map.
All Hands | Mechanics | Examples (with Jun as the desired master):
All That Glitters | Description | All That Glitters is an notable atlas passive skill.
All That Glitters | Mechanics | Allocating this node provides a 10% chance for each shrine in your maps to instead be a Covetous Shrine.
Always Angry | Description | Always Angry is a notable passive skill that grants minimum Rage. Without any other sources of Rage generation, this grants 8% more Attack Damage permanently.
Always Angry | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Always Angry | Anointment | Blight anointment to unlock the passive:
Amber Infusion | Description | Amber Infusion is an atlas passive skill. It causes ore deposits to be more likely to be Petrified Amber, and causes monsters from Petrified Amber ore deposits to take reduced damage.
